"","id","lon","lat","elevation"
"1",58015,116.33,34.43,442
"2",58102,115.77,33.87,377
"3",58122,116.98,33.63,259
"4",58203,115.73,32.87,327
"5",58215,116.78,32.55,227
"6",58221,117.38,32.92,219
"7",58236,118.3,32.3,275
"8",58311,116.5,31.75,605
"9",58314,116.32,31.4,864
"10",58321,117.3,31.78,270
"11",58326,117.87,31.62,224
"12",58424,117.05,30.53,198
"13",58436,118.98,30.62,894
"14",58437,118.15,30.13,18404
"15",58531,118.28,29.72,1427
"16",54511,116.47,39.8,313
"17",58725,117.47,27.33,2180
"18",58731,118.53,27.92,2769
"19",58737,118.32,27.05,1549
"20",58754,120.2,27.33,362
"21",58820,117.17,26.9,3429
"22",58834,118.17,26.65,1256
"23",58847,119.28,26.08,840
"24",58918,116.42,25.05,1980
"25",58921,117.35,25.97,2060
"26",58931,118.1,25.72,16535
"27",58933,118.98,26.92,8695
"28",58944,119.78,25.52,324
"29",59126,117.65,24.5,289
"30",59133,118.92,24.9,218
"31",59134,118.07,24.48,1394
"32",59321,117.5,23.78,533
"33",52323,97.03,41.8,17704
"34",52418,94.68,40.15,11390
"35",52424,95.77,40.53,11709
"36",52436,97.03,40.27,15260
"37",52446,99.52,40.3,11774
"38",52533,98.48,39.77,14772
"39",52546,99.83,39.37,13322
"40",52652,100.43,38.93,14827
"41",52661,101.08,38.8,17646
"42",52674,101.97,38.23,19769
"43",52679,102.67,37.92,15315
"44",52681,103.08,38.63,13675
"45",52787,102.87,37.2,30451
"46",52797,104.05,37.18,16309
"47",52895,104.68,36.57,13982
"48",52983,104.15,35.87,18744
"49",52984,103.18,35.58,19172
"50",52986,103.85,35.35,18938
"51",52996,105,35.38,24506
"52",53821,107.3,36.58,12556
"53",53915,106.67,35.55,13466
"54",53923,107.63,35.73,14210
"55",56074,102.08,34,34714
"56",56080,102.9,35,29100
"57",56093,104.02,34.43,23150
"58",56096,104.92,33.4,10791
"59",57996,114.32,25.13,1338
"60",59072,112.38,24.78,983
"61",59082,113.6,24.68,610
"62",59087,113.53,23.87,686
"63",59096,114.48,24.37,2148
"64",59117,116.1,24.27,878
"65",59271,112.43,23.63,573
"66",59278,112.45,23.03,410
"67",59287,113.33,23.17,410
"68",59293,114.73,23.8,708
"69",59294,113.83,23.33,389
"70",59298,114.42,23.08,224
"71",59303,115.77,23.93,1209
"72",59316,116.68,23.4,29
"73",59317,116.3,23.03,144
"74",59456,110.93,22.35,846
"75",59462,111.57,22.77,533
"76",59478,112.78,22.25,327
"77",59493,114,22.53,630
"78",59501,115.37,22.8,173
"79",59658,110.3,21.15,533
"80",59663,111.97,21.83,899
"81",59664,111,21.5,118
"82",59673,112.77,21.73,215
"83",59754,110.18,20.33,559
"84",57947,109.4,25.22,1213
"85",57957,110.3,25.32,1644
"86",59021,107.03,24.55,4846
"87",59023,108.03,24.7,2602
"88",59037,108.1,23.93,1708
"89",59046,109.4,24.35,968
"90",59058,110.52,24.2,1457
"91",59065,111.53,24.42,1088
"92",59209,105.83,23.42,7941
"93",59211,106.6,23.9,1735
"94",59218,106.42,23.13,7399
"95",59242,109.23,23.75,849
"96",59254,110.08,23.4,425
"97",59265,111.3,23.48,1148
"98",59417,106.85,22.33,1288
"99",59431,108.22,22.63,1216
"100",59446,109.3,22.42,666
"101",59453,110.17,22.65,818
"102",59626,107.97,21.53,221
"103",59632,108.62,21.95,45
"104",59644,109.13,21.45,128
"105",59647,109.1,21.03,552
"106",56691,104.28,26.87,22375
"107",56793,104.47,25.72,18000
"108",57606,106.83,28.13,9720
"109",57614,106.22,28.33,11802
"110",57707,105.28,27.3,15106
"111",57713,106.88,27.7,8439
"112",57722,107.47,27.77,7922
"113",57731,108.25,27.95,4163
"114",57741,109.18,27.72,2797
"115",57803,106.02,27.03,12314
"116",57806,105.9,26.25,14311
"117",57816,106.73,26.58,12238
"118",57825,107.98,26.6,7203
"119",57832,108.67,26.97,6269
"120",57902,105.18,25.43,13785
"121",57906,106.08,25.18,5668
"122",57916,106.77,25.43,4403
"123",57922,107.55,25.83,10133
"124",57932,108.53,25.97,2857
"125",59758,110.25,20,635
"126",59838,108.62,19.1,76
"127",59845,109.58,19.52,1690
"128",59849,109.83,19.03,2509
"129",59855,110.47,19.23,240
"130",59948,109.52,18.23,60
"131",59954,110.03,18.5,139
"132",59981,112.33,16.83,47
"133",59985,111.62,16.53,40
"134",53399,114.7,41.15,13933
"135",53593,114.57,39.83,9095
"136",53698,114.42,38.03,810
"137",53798,114.5,37.07,773
"138",54308,116.63,41.22,6612
"139",54311,117.75,41.93,8428
"140",54401,114.88,40.78,7242
"141",54405,115.5,40.4,5368
"142",54423,117.95,40.98,3859
"143",54429,117.95,40.2,549
"144",54436,118.95,40.4,2275
"145",54449,119.52,39.85,24
"146",54518,116.38,39.12,90
"147",54534,118.15,39.67,278
"148",54539,118.88,39.43,105
"149",54602,115.52,38.85,172
"150",54606,115.73,38.23,190
"151",54624,117.35,38.37,66
"152",54705,115.38,37.37,274
"153",53898,114.4,36.05,629
"154",53986,113.88,35.32,732
"155",57051,111.2,34.8,4099
"156",57067,111.03,34.05,5688
"157",57071,112.43,34.82,3333
"158",57077,111.6,33.78,7503
"159",57083,113.65,34.72,1104
"160",57089,113.87,34.03,668
"161",57091,114.3,34.78,737
"162",57156,111.5,33.3,2503
"163",57178,112.58,33.03,1292
"164",57181,113.05,33.88,1364
"165",57193,114.52,33.78,526
"166",57290,114.02,33,827
"167",57297,114.05,32.13,1145
"168",58005,115.67,34.45,501
"169",58208,115.62,32.17,429
"170",50136,122.52,52.97,4330
"171",50349,124.33,51.7,4946
"172",50353,126.65,51.72,1774
"173",50442,124.12,50.4,3717
"174",50468,127.45,50.25,1664
"175",50557,125.23,49.17,2422
"176",50564,127.35,49.43,2345
"177",50656,126.52,48.28,2697
"178",50658,125.88,48.05,2346
"179",50742,124.48,47.8,1627
"180",50745,123.92,47.38,1471
"181",50756,126.97,47.43,2392
"182",50758,125.9,47.17,2472
"183",50774,128.92,47.73,2409
"184",50788,131.98,47.23,664
"185",50844,123.42,46.4,1495
"186",50853,126.97,46.62,1796
"187",50854,125.32,46.38,1493
"188",50862,128.02,46.98,2105
"189",50873,130.28,46.82,812
"190",50877,129.58,46.3,1001
"191",50888,132.18,46.32,830
"192",50953,126.77,45.75,1423
"193",50963,128.73,45.97,1086
"194",50968,127.97,45.22,1897
"195",50978,130.93,45.3,2808
"196",50983,132.97,45.77,1002
"197",54094,129.6,44.57,2414
"198",54096,131.17,44.38,5678
"199",57259,110.77,32.03,4269
"200",57265,111.67,32.38,900
"201",57279,112.75,32.15,1255
"202",57355,110.37,31.03,3340
"203",57378,112.57,31.17,658
"204",57399,115.02,31.18,593
"205",57447,109.47,30.28,4571
"206",57458,110.67,30.2,6199
"207",57461,111.3,30.7,1331
"208",57476,112.15,30.35,322
"209",57483,113.17,30.67,341
"210",57494,114.13,30.62,231
"211",57545,109.42,29.52,4595
"212",57583,113.92,29.98,360
"213",58402,115.67,30.73,1238
"214",58407,115.03,30.23,322
"215",57554,110.17,29.4,3222
"216",57562,111.37,29.58,1169
"217",57574,112.4,29.37,360
"218",57584,113.08,29.38,530
"219",57649,109.73,28.32,2084
"220",57655,110.4,28.47,1516
"221",57662,111.68,29.05,350
"222",57669,111.22,28.38,1283
"223",57671,112.37,28.85,370
"224",57682,113.57,28.72,1063
"225",57745,109.68,27.45,2722
"226",57766,111.47,27.23,2486
"227",57774,112.17,27.45,1000
"228",57776,112.7,27.3,12659
"229",57845,109.78,26.17,3975
"230",57853,110.63,26.73,3410
"231",57866,111.62,26.23,1726
"232",57872,112.6,26.9,1049
"233",57965,111.6,25.53,1922
"234",57972,113.03,25.8,1849
"235",50936,122.83,45.63,1553
"236",50948,124.02,45,1463
"237",50949,124.87,45.08,1362
"238",54041,123.07,44.78,1495
"239",54049,123.97,44.25,1889
"240",54063,126,44.97,1968
"241",54142,123.53,43.5,1149
"242",54157,124.33,43.17,1657
"243",54161,125.22,43.9,2368
"244",54181,127.33,43.7,2950
"245",54186,128.2,43.37,5249
"246",54266,125.63,42.53,3405
"247",54273,126.75,42.98,2633
"248",54276,126.82,42.35,5492
"249",54284,127.57,42.1,7742
"250",54285,128.25,42.53,5914
"251",54292,129.5,42.87,2573
"252",54363,125.9,41.68,4029
"253",54374,126.92,41.8,3327
"254",54377,126.15,41.1,1777
"255",54386,128.18,41.42,7750
"256",58027,117.15,34.28,412
"257",58040,119.12,34.83,33
"258",58138,118.52,32.98,408
"259",58150,120.25,33.77,20
"260",58238,118.8,32,71
"261",58241,119.45,32.8,54
"262",58251,120.32,32.87,43
"263",58259,120.88,31.98,61
"264",58265,121.6,32.07,55
"265",58343,119.98,31.88,44
"266",58345,119.48,31.43,77
"267",58358,120.43,31.07,175
"268",57598,114.58,29.03,1468
"269",57793,114.38,27.8,1313
"270",57799,114.92,27.05,712
"271",57896,114.5,26.33,1261
"272",57993,115,25.87,1375
"273",58506,115.98,29.58,11645
"274",58519,116.68,29,401
"275",58527,117.2,29.3,615
"276",58606,115.92,28.6,469
"277",58608,115.55,28.07,304
"278",58626,117.22,28.3,512
"279",58634,118.25,28.68,1163
"280",58715,116.65,27.58,808
"281",58813,116.33,26.85,1438
"282",59102,115.65,24.95,3039
"283",54236,122.53,42.42,794
"284",54237,121.72,42.08,1678
"285",54254,124.05,42.53,982
"286",54259,124.92,42.1,2372
"287",54324,120.45,41.55,1699
"288",54326,119.7,41.38,4220
"289",54335,122.08,41.68,375
"290",54337,121.12,41.13,659
"291",54339,123,41.08,773
"292",54342,123.52,41.73,490
"293",54346,123.78,41.32,1854
"294",54351,124.08,41.92,1185
"295",54365,125.35,41.28,2455
"296",54454,120.35,40.35,153
"297",54455,120.7,40.58,105
"298",54471,122.17,40.65,38
"299",54476,122.15,40.17,204
"300",54486,123.28,40.28,798
"301",54493,124.78,40.72,2601
"302",54497,124.33,40.05,138
"303",54563,122.02,39.63,1187
"304",54584,122.95,39.72,348
"305",54662,121.63,38.9,915
"306",50425,120.18,50.25,5814
"307",50434,121.68,50.48,7326
"308",50514,117.43,49.57,6617
"309",50527,119.75,49.22,6102
"310",50548,123.72,49.2,2861
"311",50603,116.82,48.67,5542
"312",50618,118.27,48.22,6420
"313",50632,121.92,48.77,7397
"314",50639,122.73,48,3065
"315",50727,119.93,47.17,9972
"316",50834,121.22,46.6,4997
"317",50838,122.05,46.08,2747
"318",50915,116.97,45.52,8389
"319",52267,101.07,41.95,9405
"320",52378,102.37,41.37,9600
"321",52495,104.8,40.17,13239
"322",52576,101.68,39.22,15101
"323",53068,111.97,43.65,9647
"324",53083,114.15,44.62,11816
"325",53149,110.13,42.53,12252
"326",53192,114.95,44.02,11261
"327",53195,113.63,43.87,10367
"328",53231,106.4,41.4,15096
"329",53276,112.9,42.4,11508
"330",53336,108.52,41.57,12880
"331",53352,110.43,41.7,13766
"332",53362,111.68,41.53,14901
"333",53391,114,41.9,14827
"334",53446,109.85,40.67,10672
"335",53463,111.68,40.82,10630
"336",53480,113.07,41.03,14193
"337",53502,105.75,39.78,10318
"338",53513,107.42,40.75,10393
"339",53529,107.98,39.1,13803
"340",53543,109.98,39.83,14619
"341",53602,105.67,38.83,15614
"342",54012,117.6,44.58,10006
"343",54026,120.9,44.57,2650
"344",54027,119.4,43.98,4862
"345",54102,116.12,43.95,10030
"346",54115,118.07,43.6,7995
"347",54134,121.28,43.6,2410
"348",54135,122.27,43.6,1787
"349",54208,116.47,42.18,12454
"350",54213,119.02,42.93,6343
"351",54218,118.93,42.27,5680
"352",54226,120.7,42.33,4005
"353",53519,106.77,39.22,10925
"354",53614,106.22,38.48,11114
"355",53615,106.7,38.8,11016
"356",53705,105.68,37.48,11834
"357",53723,107.38,37.8,13493
"358",53806,105.65,36.57,18542
"359",53810,105.9,36.97,13393
"360",53817,106.27,36,17530
"361",53903,105.72,35.97,19165
"362",51886,90.85,38.25,29448
"363",52602,93.33,38.75,27700
"364",52633,98.42,38.8,33670
"365",52645,99.58,38.42,83200
"366",52657,100.25,38.18,27874
"367",52707,93.68,36.8,27670
"368",52713,95.37,37.85,31732
"369",52737,97.37,37.37,29815
"370",52754,100.13,37.33,83015
"371",52765,101.62,37.38,78500
"372",52818,94.9,36.42,28076
"373",52825,96.42,36.43,27904
"374",52836,98.1,36.3,31911
"375",52856,100.62,36.27,28350
"376",52866,101.75,36.72,22952
"377",52868,101.43,36.03,22371
"378",52876,102.85,36.32,18139
"379",52908,93.08,35.22,46122
"380",52943,99.98,35.58,33232
"381",56004,92.43,34.22,45331
"382",56018,95.3,32.9,40664
"383",56021,95.78,34.13,41750
"384",56029,97.02,33.02,36812
"385",56033,98.22,34.92,42723
"386",56034,97.13,33.8,44154
"387",56046,99.65,33.75,39675
"388",56065,101.6,34.73,85000
"389",56067,101.48,33.43,36285
"390",56125,96.48,32.2,36437
"391",54725,117.53,37.48,117
"392",54751,120.72,37.93,397
"393",54753,120.32,37.62,48
"394",54776,122.68,37.4,477
"395",54808,115.67,36.23,378
"396",54823,117.05,36.6,1703
"397",54826,117.1,36.25,15337
"398",54836,118.15,36.18,3051
"399",54843,119.18,36.75,222
"400",54857,120.33,36.07,760
"401",54863,121.18,36.77,409
"402",54916,116.85,35.57,517
"403",54936,118.83,35.58,1074
"404",54945,119.53,35.43,369
"405",53478,112.45,40,13458
"406",53487,113.33,40.1,10672
"407",53564,111.15,39.38,8615
"408",53588,113.52,38.95,22083
"409",53663,111.82,38.92,14010
"410",53664,111.13,38.47,10126
"411",53673,112.72,38.73,8282
"412",53764,111.1,37.5,9508
"413",53772,112.55,37.78,7783
"414",53787,112.98,37.07,10414
"415",53853,110.95,36.7,10527
"416",53863,111.92,37.03,7439
"417",53868,111.5,36.07,4495
"418",53959,111.05,35.05,3650
"419",53975,112.4,35.48,6595
"420",53646,109.78,38.27,11570
"421",53738,108.17,36.92,13314
"422",53740,109.23,37.93,11110
"423",53754,110.22,37.5,9297
"424",53845,109.5,36.6,9585
"425",53929,107.8,35.2,12065
"426",53942,109.5,35.82,11598
"427",57034,108.22,34.25,4478
"428",57046,110.08,34.48,20649
"429",57106,106.15,33.32,7942
"430",57127,107.03,33.07,5095
"431",57134,107.98,33.52,8272
"432",57143,109.97,33.87,7422
"433",57144,109.15,33.43,6937
"434",57232,108.27,33.05,4849
"435",57245,109.03,32.72,2908
"436",56038,98.1,32.98,92000
"437",56079,102.97,33.58,34396
"438",56144,98.58,31.8,81840
"439",56146,100,31.62,83935
"440",56152,100.33,32.28,88939
"441",56167,101.12,30.98,29572
"442",56172,102.23,31.9,26644
"443",56173,102.55,32.8,34916
"444",56178,102.35,31,23692
"445",56182,103.57,32.65,28507
"446",56188,103.67,31,6985
"447",56196,104.73,31.45,5227
"448",56251,100.32,30.93,80000
"449",56287,103,29.98,6276
"450",56357,100.3,29.05,87277
"451",56374,101.97,30.05,26157
"452",56385,103.33,29.52,80474
"453",56386,103.75,29.57,4242
"454",56459,101.27,27.93,24265
"455",56462,101.5,29,79873
"456",56475,102.52,28.65,16595
"457",56479,102.85,28,21324
"458",56485,103.58,28.27,12558
"459",56492,104.6,28.8,3408
"460",56565,101.52,27.43,25450
"461",56571,102.27,27.9,15909
"462",56671,102.25,26.65,17873
"463",57206,105.85,32.43,5138
"464",57237,108.03,32.07,6740
"465",57306,105.97,31.58,3826
"466",57313,106.77,31.87,4177
"467",57328,107.5,31.2,3449
"468",57405,105.55,30.5,3550
"469",57411,106.1,30.78,3097
"470",57608,105.43,28.17,3775
"471",54527,117.07,39.08,25
"472",54623,117.72,39.05,48
"473",56444,98.92,28.48,33190
"474",56533,98.67,27.75,15833
"475",56543,99.7,27.83,32767
"476",56548,99.28,27.17,23261
"477",56586,103.72,27.35,19495
"478",56651,100.22,26.87,23924
"479",56664,101.27,26.63,12448
"480",56684,103.28,26.42,21105
"481",56739,98.5,25.02,16546
"482",56748,99.18,25.12,16522
"483",56751,100.18,25.7,19905
"484",56763,101.87,25.73,11206
"485",56778,102.65,25,18865
"486",56786,103.83,25.58,18987
"487",56838,97.85,24.02,7766
"488",56856,100.87,24.47,11623
"489",56875,102.55,24.33,17169
"490",56886,103.77,24.53,17043
"491",56951,100.08,23.88,15024
"492",56954,99.93,22.57,10548
"493",56959,100.78,22,5820
"494",56964,100.97,22.78,13021
"495",56966,101.98,23.6,4009
"496",56969,101.57,21.48,6319
"497",56977,101.85,22.58,11205
"498",56985,103.38,23.38,13007
"499",58457,120.17,30.23,417
"500",58464,121.08,30.62,54
"501",58467,121.27,30.2,45
"502",58472,122.45,30.73,796
"503",58477,122.1,30.03,357
"504",58549,119.65,29.12,626
"505",58556,120.82,29.6,1043
"506",58562,121.57,29.87,48
"507",58569,121.95,29.2,1284
"508",58633,118.9,29,824
"509",58646,119.92,28.45,597
"510",58665,121.42,28.62,46
"511",58666,121.9,28.45,862
"512",58667,121.27,28.08,959
"513",57348,109.53,31.02,2998
"514",57426,107.8,30.68,4545
"515",57432,108.4,30.77,1867
"516",57516,106.47,29.58,2591
"517",57633,108.77,28.83,6641
